"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 23 21:14:41 GMT 2022","Sun Oct 23 21:14:42 GMT 2022","806","","Deck of Cards - Suite #001","","Deck of Cards - Suite #001","Drawing 5 cards to pile","Drawing 5 cards to pile",""
"passed","Sun Oct 23 21:14:42 GMT 2022","Sun Oct 23 21:14:43 GMT 2022","628","","Deck of Cards - Suite #001","","Deck of Cards - Suite #001","Shuffling a pile","Shuffling a pile",""
"passed","Sun Oct 23 21:14:40 GMT 2022","Sun Oct 23 21:14:40 GMT 2022","319","","Deck of Cards - Suite #001","","Deck of Cards - Suite #001","Creating a deck","Creating a deck",""
"passed","Sun Oct 23 21:14:40 GMT 2022","Sun Oct 23 21:14:41 GMT 2022","318","","Deck of Cards - Suite #001","","Deck of Cards - Suite #001","Shuffling a deck","Shuffling a deck",""
"passed","Sun Oct 23 21:14:42 GMT 2022","Sun Oct 23 21:14:42 GMT 2022","392","","Deck of Cards - Suite #001","","Deck of Cards - Suite #001","List cards in piles","List cards in piles",""
"passed","Sun Oct 23 21:14:43 GMT 2022","Sun Oct 23 21:14:43 GMT 2022","456","","Deck of Cards - Suite #001","","Deck of Cards - Suite #001","Drawing cards from piles","Drawing cards from piles",""
"passed","Sun Oct 23 21:14:41 GMT 2022","Sun Oct 23 21:14:41 GMT 2022","226","","Deck of Cards - Suite #001","","Deck of Cards - Suite #001","Drawing 3 cards","Drawing 3 cards",""
